"Zrizovatel","Q227364_230058","Q227364_230059","Q227364_230060","Q227364_230061","Q227364_230062","Q227364_230063","Q227364_230067","Q227364_230064","Q227364_230066","Q227364_230065","Q227364_233003","Q227364_233004","Q227367","Q227369_233010","Q227369_233011","Q227369_233012","Q227369_233013","Q227369_233014","Q227370_233015","Q227370_233016","Q227370_233017","Q227370_233018","Q227370_233019","Q227370_233020","Q227370_233021","Q227370_233022","Q227370_233023","Q227370_233024","Q227370_236089","Q227370_233025","Q227370_233028","Q227370_233029","Q227370_233030","Q227370_233031","Q227370_233032","Q227370_233033","Q227370_233034","Q227370_233035","Q227370_233036","Q227370_233037","Q227370_233038","Q227378","Q227379","Q227380","Q227381","Q227382","Q227383","Q227384","Q227385","Q227386","Q227387","Q227373","Q227374","Q227375","Q227376","Q227377","Q227392","Q227678","Q227395_229929","Q227395_229930","Q227395_229931","Q227395_229932","Q227395_229933","Q227395_229934","Q227395_229935","Q227395_229936","Q227395_229937","Q227397_229941","Q227397_229942","Q227397_233130","Q227397_233131","Q227397_229943","Q227397_229944","Q227397_229945","Q227397_229946","Q227397_229947","Q227444_212076","Q227444_212077","Q227444_212078","Q227444_212079","Q227444_212080","Q227444_212081","Q227444_212082","Q227444_212083","Q227444_212084","Q227444_212085","Q227444_212086","Q227444_212087","Q227444_212088","Q227444_212089","Q235365","Q235366","Q235367","Q235368","Q235369","Q235371","Q235372","Q235373","Q235374","Q235375","Q235376","Q235377","Q235378","Q235379","Q235380","Q227754_233140","Q227754_233141","Q227754_233142","Q227754_233143","Q227754_233144","Q227754_233145","Q227754_233146","Q227755_233147","Q227755_233148","Q227755_233149","Q227755_233343","Q227755_233150","Q227755_233151","Q227756_233293","Q227756_233294","Q227756_233295","Q227756_233299","Q227756_233296","Q227756_233297","Q227756_233298","Q227756_233300","Q227756_233301","Q227756_233302","Q227756_233303","Q227756_233304","Q227756_233305","Q227756_233306","Q227454","Q227455","Q227456","Q227757","Q227758","Q227759","Q227760","Q227761","Q229153_234753","Q229153_234754","Q229153_234755","Q229153_234756","Q229153_234757","Q229153_234758","Q229153_234759","Q229153_234760","Q229153_234761","Q235387","Q235389","Q235391","Q235393","Q227459_212095","Q227459_212096","Q227459_212097","Q227459_212098","Q227459_212099","Q227459_212100","Q227459_212101","Q227459_212102","Q227459_212103","Q227459_212104","Q227459_212105","Q230702_236142","Q230702_236143","Q230702_236144","Q230702_236145","Q230702_236146","Q227480_212174","Q227480_212175","Q227480_212176","Q227480_212177","Q227480_212178","Q227480_212179","Q227480_212180","Q246698_252114","Q246698_252116","Q246698_252119","Q246698_252120","Q246698_252123","Q246700_252128","Q246700_252129","Q246700_252130","Q246700_252131","Q246700_252133","Q246700_252136","Q246701","Q227481_212190","Q227481_212191","Q227481_212192","Q227481_212193","Q227481_212194","Q227481_212195","Q227481_212196","Q227482_212201","Q227482_212202","Q227482_212203","Q227482_212204","Q227482_212205","Q227483","Q227484_212213","Q227484_212214","Q227484_212215","Q227484_212216","Q227484_212217","Q227485_230021","Q227486_221252","Q227486_221253","Q227486_221255","Q227486_221256","Q227486_221257","Q227486_221258","Q227486_221259","Q227486_221260","Q227486_221261","Q227487_212272","Q227487_212273","Q227487_212274","Q227487_212275","Q227487_212276","Q227487_212277","Q227487_212278","Q227487_212279","Q227487_212280","Q227488_212285","Q227488_212286","Q227488_212287","Q227488_212288","Q227488_212289","Q227488_212290","Q227488_212291","Q227488_233311","Q243843_249768","Q243843_249769","Q243843_249770","Q243843_249771","Q243843_249772","Q243843_249773","Q243843_249774","Q243843_249775","Q243843_249776","Q243843_249777","Q243843_249778","Q243843_249779","Q243843_249780","Q243843_249781","Q243843_249782","Q227764","Q227492","Q227493","Q227762","Q227763","Q227494_212329","Q227494_212330","Q227494_212331","Q227494_212332","Q227494_230039","Q227494_233312","Q227494_212335","Q230715","Q243844","Q243845","Q243846","Q243847","Q227495","Q227496_212336","Q227496_212337","Q227496_212338","Q227496_230054","Q227496_212339"
"Obec","0","0","0","0","0","0","0","0","0","0","0","1","30","0","0","1","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","2","","1","1","1","2","1","1","1","2","2","2","3","2","13","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","3","1","1","3","2","2","2","2","1","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","3","1","1","2","1","3","3","4","0","1","1","1","1","1","1","0","0","2","3","1","2","1","0","1","1","1","1","1","0","1","0","0","0","0","1","1","0","1","0","1","0","1","0","0","","","","","","1","1","0","1","0","0","4","0","0","0","0","0","1","0","0","0","1","0","0","","1","0","1","0","0","ano","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","45","méně než čtvrtiny žáků","více než tří čtvrtin žáků","méně než čtvrtiny žáků","více než tří čtvrtin žáků","1","0","0","1","0","1","0","3","4","90655","38","5","ano","0","0","1","0","0"
"Obec","0","1","1","0","0","0","0","0","0","1","0","0","40","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","2","1","1","1","1","1","2","1","1","1","2","2","1","1","3","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","2","2","1","2","2","1","2","1","0","0","1","0","0","1","1","0","1","0","0","0","","","","","","","","","","","","","","","1","","","","","","","","1","0","0","0","0","0","0","0","0","2","2","2","2","1","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","3","0","0","1","1","0","0","0","1","0","0","0","0","10","0","0","1","0","0","škola nemá 2. stupeň","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","méně než čtvrtiny žáků","všech žáků","","","1","0","0","0","0","0","0","1","2","6292","0","0","ano","0","0","0","1","0"
"Privátní sektor","1","0","1","1","1","0","0","1","0","0","0","0","15","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2","1","2","1","2","3","2","1","1","1","1","2","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","1","","1","","1","0","0","0","0","0","0","0","0","2","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","","","","","","0","0","0","0","0","1","5","0","1","0","0","0","0","0","0","0","1","0","0","","0","1","0","0","0","škola nemá 2. stupeň","0","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","všech žáků","žádných žáků","","","0","1","0","0","0","0","0","1","0","599","0","0","ne","","","","",""
"Obec","0","0","0","1","0","0","0","0","0","0","1","0","30","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","1","1","1","1","1","1","1","2","1","1","2","2","","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","2","1","1","1","1","1","1","1","1","1","2","2","1","2","1","0","0","1","0","0","0","1","0","1","0","0","0","","","","","","","","","","","","","","","1","4","1","4","2","4","3","3","1","0","0","0","0","0","0","0","0","3","2","1","1","1","1","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","","","","","","","","","","","","5","0","0","0","0","0","1","0","0","0","1","0","0","","0","0","1","0","0","škola nemá 2. stupeň","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","více než tří čtvrtin žáků","žádných žáků","žádných žáků","žádných žáků","1","0","0","0","0","0","0","1","0","6766","0","0","ano","0","0","1","1","0"
"Obec","0","1","0","0","0","0","0","0","0","0","0","0","22","1","0","1","0","0","1","1","1","1","1","1","0","0","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","2","2","1","1","2","2","1","1","2","2","2","1","2","2","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","0","0","0","0","0","2","2","2","2","2","3","","2","3","1","1","2","1","1","2","1","1","1","1","0","0","0","1","1","1","1","0","0","","","","","","","","","","","","","","","1","1","4","2","4","3","3","3","1","0","0","0","0","0","0","0","0","2","2","2","2","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","1","1","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","","0","0","0","0","1","škola nemá 2. stupeň","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8","žádných žáků","všech žáků","","","1","0","1","0","0","1","0","2","0","0","0","0","ne","","","","",""
"Obec","0","0","0","0","0","0","0","0","0","0","0","1","23","0","0","1","1","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","1","1","2","2","1","1","1","2","2","2","1","1","10","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","4","1","1","1","2","1","1","2","2","2","3","2","1","2","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","4","4","2","4","3","4","4","1","0","0","0","0","0","0","0","0","2","3","3","2","1","0","1","1","1","1","1","1","0","0","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","7","0","0","1","0","0","ano","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","0","0","0","0","1","3","0","9813","15","2","ne","","","","",""
"Obec","0","0","1","1","0","0","0","0","0","0","0","0","25","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","2","1","1","2","2","2","2","2","2","4","3","2","2","5","2","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","1","1","1","2","2","1","1","3","3","2","2","2","1","2","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","1","1","4","3","4","2","3","4","2","","","","","","","","","","2","3","3","2","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","0","1","1","1","0","","","","","","","1","0","0","1","1","0","0","0","1","0","0","0","0","12","0","0","1","0","0","ne","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","0","0","0","1","1","3","1","14323","126","4","ano","0","0","0","1","0"
"Obec","0","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","2","3","2","2","2","2","2","2","2","2","1","3","2","2","2","4","2","0","0","1","0","1","0","0","0","0","1","1","0","1","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","2","3","2","2","2","3","2","3","3","3","2","3","2","2","2","1","1","0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","1","1","1","1","1","1","3","4","4","0","1","1","1","1","1","0","0","0","2","3","3","2","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","0","1","0","1","0","0","0","0","","","","","","1","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","","0","0","1","0","0","ano","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","20","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","1","0","0","1","0","3","0","33658","6","1","ano","0","0","0","1","0"
"Obec","1","0","1","0","0","0","0","0","0","0","0","0","15","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","1","2","2","2","2","1","1","2","1","2","2","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","2","2","1","2","3","2","1","1","3","1","1","1","1","1","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","","","1","2","4","2","3","1","0","0","0","0","0","0","0","0","3","3","3","2","1","1","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","1","0","0","0","0","0","1","1","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","","0","0","1","0","0","škola nemá 2. stupeň","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","žádných žáků","všech žáků","žádných žáků","žádných žáků","1","0","0","0","0","0","0","4","0","2199","0","0","ano","0","1","0","0","0"
"Obec","0","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","1","1","2","2","2","1","1","3","2","3","2","2","1","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","1","0","0","0","0","1","0","0","3","3","3","3","3","4","2","1","3","4","1","2","2","1","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","","","","2","","","2","0","1","1","0","1","1","1","0","0","3","3","3","3","1","1","1","1","1","1","0","1","0","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","ne","1","1","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","2","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","1","0","0","1","0","1","0","10135","0","0","ne","","","","",""
"Obec","0","0","1","1","0","0","0","0","0","1","1","0","28","0","0","1","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","1","1","1","2","1","1","2","2","1","2","2","1","1","1","2","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","2","1","2","1","1","1","1","1","1","2","1","3","2","1","1","1","0","0","1","0","1","0","1","0","1","0","0","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","1","0","1","0","0","0","0","2","2","1","2","1","1","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","","","","","","1","1","1","0","1","0","4","0","0","1","1","0","0","0","1","1","0","0","0","12","0","1","0","0","0","škola nemá 2. stupeň","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","13","žádných žáků","všech žáků","žádných žáků","žádných žáků","1","0","0","0","0","0","0","3","0","5722","0","0","ne","","","","",""
"Obec","1","0","0","0","1","0","0","0","0","0","1","0","31","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","2","4","3","2","2","1","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","1","0","0","0","2","4","2","1","2","2","1","2","2","2","1","1","1","1","1","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","1","","","","","","","","1","0","0","0","0","0","0","0","0","3","2","2","2","1","0","1","1","0","1","0","1","0","0","0","0","0","1","0","1","1","1","1","1","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","","0","0","1","0","0","škola nemá 2. stupeň","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","žádných žáků","všech žáků","žádných žáků","žádných žáků","1","1","0","0","1","1","0","4","0","3991","0","0","ne","","","","",""
"Obec","1","0","0","0","1","0","0","0","0","1","0","0","20","1","0","1","1","0","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","1","0","0","1","0","1","1","0","1","0","1","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","1","4","4","1","1","3","4","4","0","1","1","0","1","1","0","0","0","2","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","1","1","1","1","0","0","4","0","0","1","0","1","0","0","0","0","1","0","0","","0","0","1","0","0","škola nemá 2. stupeň","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","žádných žáků","všech žáků","žádných žáků","žádných žáků","1","0","1","0","0","0","1","1","1","6834","0","0","ano","0","0","1","1","1"
"Obec","0","0","0","0","0","0","0","0","0","0","0","1","37","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","2","2","2","1","1","2","2","2","1","2","1","3","2","12","1","1","0","1","1","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","2","2","2","3","2","4","1","3","2","2","2","2","3","1","3","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","1","1","1","3","3","4","0","0","1","0","1","1","0","0","0","2","2","2","2","1","1","0","1","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","1","0","0","","1","0","1","0","0","ano","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","300","méně než čtvrtiny žáků","více než tří čtvrtin žáků","méně než čtvrtiny žáků","více než tří čtvrtin žáků","1","0","1","1","0","1","0","1","2","100823","118","5","ano","0","0","0","1","0"
"Obec","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","2","1","1","1","1","2","2","1","1","1","1","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","3","1","1","2","2","2","1","2","3","2","3","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","1","0","1","1","1","1","0","1","1","3","4","3","4","","3","4","4","1","0","0","0","0","0","0","0","0","2","2","","1","0","0","1","1","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","1","0","0","0","0","0","1","0","1","0","1","0","0","4","0","0","1","0","0","ne","1","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","0","0","0","1","0","3","1","7927","5","1","ano","0","0","0","1","0"
"Obec","","","","","","","","","","","","","42","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","1","1","1","1","2","1","1","1","1","1","1","1","5","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","2","2","1","2","1","1","1","2","2","1","3","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","0","1","1","4","4","3","4","4","4","1","0","0","0","0","0","0","0","0","3","3","2","2","1","1","1","1","0","0","0","0","1","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","","0","0","1","0","0","ne","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","méně než čtvrtiny žáků","více než tří čtvrtin žáků","méně než čtvrtiny žáků","více než tří čtvrtin žáků","1","0","0","0","1","0","0","2","2","15119","208","4","ano","0","0","0","1","0"
"Obec","0","0","0","0","0","0","0","0","0","0","0","1","11","0","0","1","1","0","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","3","2","1","1","2","2","3","2","2","2","1","2","1","1","6","1","0","0","1","0","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","3","2","2","1","2","3","3","3","4","3","2","3","3","1","2","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","1","3","4","4","4","0","0","1","1","1","1","1","0","0","2","2","3","2","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0","0","0","0","0","0","0","1","1","0","","","","","","","1","0","0","0","0","0","1","0","0","0","1","0","0","","0","0","1","0","0","ne","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","0","0","0","0","0","1","10","24066","74","5","ano","0","0","0","0","1"
"Obec","0","0","0","0","0","0","0","0","0","0","0","1","25","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","2","1","1","1","2","1","2","1","1","2","2","2","2","1","1","7","1","1","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","3","2","2","4","4","4","3","2","3","2","2","2","2","2","3","1","1","1","1","0","1","1","1","1","1","0","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","2","4","4","0","1","1","1","1","1","1","1","0","3","3","1","3","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","0","0","0","0","","","","","","1","1","1","0","0","0","2","0","0","1","0","1","0","0","1","0","1","0","0","15","0","0","1","0","0","ano","1","1","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","6","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","0","1","1","1","1","1","1","77906","133","7","ne","","","","",""
"Obec","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","1","1","2","2","2","2","1","1","2","1","2","1","1","3","2","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","3","1","3","4","3","4","2","2","2","3","2","3","3","2","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","2","1","2","4","3","4","4","3","0","1","0","0","1","1","0","0","0","3","3","2","3","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","","","","","","","1","0","0","1","0","0","0","0","0","0","1","0","0","","0","0","1","0","0","ano","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","žádných žáků","všech žáků","žádných žáků","všech žáků","1","0","0","0","1","0","0","3","0","25284","57","2","ne","","","","",""
"Obec","1","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","1","1","1","1","2","2","2","2","2","2","2","1","4","1","0","1","1","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","2","4","1","2","2","2","1","2","2","2","1","1","1","1","1","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","3","3","3","2","4","1","0","0","1","1","0","1","0","0","0","2","1","2","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","2","0","0","1","1","0","0","0","0","0","1","0","0","","0","0","1","0","0","ano","1","1","1","1","0","1","0","0","0","1","0","1","1","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","poloviny až tří čtvrtin žáků","čtvrtiny až poloviny žáků","méně než čtvrtiny žáků","poloviny až tří čtvrtin žáků","1","0","1","0","1","1","0","1","0","34333","2","1","ano","0","0","0","1","0"
"Obec","0","0","1","0","0","0","1","0","0","0","0","0","31","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","4","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","2","","3","1","2","1","1","1","2","2","1","2","1","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","2","","","","2","","2","","1","0","0","0","0","0","0","0","0","2","1","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","0","","","","","","1","1","0","0","0","0","4","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","1","0","0","škola nemá 2. stupeň","1","1","1","0","1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","žádných žáků","všech žáků","","","1","0","0","0","1","0","0","1","0","10292","0","0","ne","","","","",""
